Bildname,Dominante_Kategorie,Dominanz_Prozent,Aktive_Regionen,Bäume_Regionen,Gebäude_Regionen,Bäume_Dominant,Gebäude_Dominant,Annotiert_Pfad
10_70501950.jpg,"Bäume/Vegetation",64.1,43,41,4,41,2,C:\Users\manue\Desktop\Code\ki-und-schatten-hackathon\ultra_detail_bilder\ultra_10_70501950.png
10_70501975.jpg,"Bäume/Vegetation",82.8,57,56,18,53,4,C:\Users\manue\Desktop\Code\ki-und-schatten-hackathon\ultra_detail_bilder\ultra_10_70501975.png
11_70501950.jpg,"Bäume/Vegetation",28.1,31,19,20,18,13,C:\Users\manue\Desktop\Code\ki-und-schatten-hackathon\ultra_detail_bilder\ultra_11_70501950.png
11_70501975.jpg,"Bäume/Vegetation",42.2,32,29,12,27,5,C:\Users\manue\Desktop\Code\ki-und-schatten-hackathon\ultra_detail_bilder\ultra_11_70501975.png
12_70501950.jpg,"Bäume/Vegetation",25.0,29,17,21,16,13,C:\Users\manue\Desktop\Code\ki-und-schatten-hackathon\ultra_detail_bilder\ultra_12_70501950.png
12_70501975.jpg,"Bäume/Vegetation",32.8,31,21,12,21,10,C:\Users\manue\Desktop\Code\ki-und-schatten-hackathon\ultra_detail_bilder\ultra_12_70501975.png
